size,density,noise_level,negative_values,seed,algorithm,start_node,end_node,result_status,path,distance,execution_time_seconds,path_length
10,0.2,0.0,False,43,dijkstra,0,4,no_path,,inf,1.1e-05,0
10,0.2,0.0,True,44,bellman_ford,6,8,success,6 -> 1 -> 4 -> 8,1289.0,0.000282,4
10,0.2,0.1,False,45,dijkstra,4,6,no_path,,inf,9e-06,0
10,0.2,0.1,True,46,bellman_ford,1,6,success,1 -> 8 -> 5 -> 6,1807.0,0.000147,4
10,0.2,0.5,False,47,dijkstra,5,1,success,5 -> 1,768.0,1.1e-05,2
10,0.2,0.5,True,48,bellman_ford,8,5,no_path,,inf,6.3e-05,0
10,0.2,0.8,False,49,dijkstra,1,5,no_path,,inf,5e-06,0
10,0.2,0.8,True,50,bellman_ford,7,4,success,7 -> 1 -> 9 -> 4,1785.0,9.2e-05,4
10,0.5,0.0,False,51,dijkstra,3,8,success,3 -> 5 -> 8,914.0,2.1e-05,3
10,0.5,0.0,True,52,bellman_ford,4,0,success,4 -> 5 -> 0,1104.0,0.000194,3
10,0.5,0.1,False,53,dijkstra,9,3,success,9 -> 3,826.0,2.3e-05,2
10,0.5,0.1,True,54,bellman_ford,2,7,success,2 -> 0 -> 9 -> 7,746.0,0.000187,4
10,0.5,0.5,False,55,dijkstra,1,3,success,1 -> 0 -> 3,1215.0,1.9e-05,3
10,0.5,0.5,True,56,bellman_ford,8,0,negative_cycle,,-inf,0.000186,0
10,0.5,0.8,False,57,dijkstra,0,5,success,0 -> 3 -> 5,1383.0,1.9e-05,3
10,0.5,0.8,True,58,bellman_ford,9,3,negative_cycle,,-inf,0.000169,0
10,0.8,0.0,False,59,floyd_warshall,3,1,success,3 -> 1,606.0,0.000379,2
10,0.8,0.0,True,60,bellman_ford,4,9,success,4 -> 9,212.0,0.000217,2
10,0.8,0.1,False,61,floyd_warshall,7,2,success,7 -> 0 -> 2,694.0,0.000387,3
10,0.8,0.1,True,62,bellman_ford,9,2,success,9 -> 2,277.0,0.00042,2
10,0.8,0.5,False,63,floyd_warshall,7,9,success,7 -> 3 -> 9,662.0,0.000504,3
10,0.8,0.5,True,64,bellman_ford,7,1,success,7 -> 3 -> 0 -> 9 -> 8 -> 1,599.0,0.000219,6
10,0.8,0.8,False,65,floyd_warshall,6,4,success,6 -> 4,1397.0,0.000363,2
10,0.8,0.8,True,66,bellman_ford,1,4,negative_cycle,,-inf,0.000231,0
10,1.0,0.0,False,67,floyd_warshall,1,9,success,1 -> 9,289.0,0.000839,2
10,1.0,0.0,True,68,bellman_ford,7,8,success,7 -> 8,580.0,0.000696,2
10,1.0,0.1,False,69,floyd_warshall,0,1,success,0 -> 1,406.0,0.000387,2
10,1.0,0.1,True,70,bellman_ford,1,4,success,1 -> 4,782.0,0.000264,2
10,1.0,0.5,False,71,floyd_warshall,5,8,success,5 -> 8,1086.0,0.005215,2
10,1.0,0.5,True,72,bellman_ford,1,2,negative_cycle,,-inf,0.000283,0
10,1.0,0.8,False,73,floyd_warshall,4,1,success,4 -> 1,662.0,0.000992,2
10,1.0,0.8,True,74,bellman_ford,9,8,negative_cycle,,-inf,0.001295,0
20,0.2,0.0,False,75,dijkstra,14,18,success,14 -> 1 -> 15 -> 12 -> 18,2508.0,7.1e-05,5
20,0.2,0.0,True,76,bellman_ford,11,14,success,11 -> 12 -> 14,1430.0,0.002139,3
20,0.2,0.1,False,77,dijkstra,8,10,success,8 -> 11 -> 2 -> 5 -> 10,1722.0,0.000117,5
20,0.2,0.1,True,78,bellman_ford,6,3,success,6 -> 15 -> 19 -> 3,908.0,0.00134,4
20,0.2,0.5,False,79,dijkstra,4,14,success,4 -> 16 -> 14,2195.0,4.9e-05,3
20,0.2,0.5,True,80,bellman_ford,8,12,success,8 -> 12,201.0,0.000964,2
20,0.2,0.8,False,81,dijkstra,16,14,success,16 -> 5 -> 2 -> 14,2251.0,0.000111,4
20,0.2,0.8,True,82,bellman_ford,4,15,success,4 -> 18 -> 15,908.0,0.001735,3
20,0.5,0.0,False,83,dijkstra,15,14,success,15 -> 4 -> 14,617.0,6.1e-05,3
20,0.5,0.0,True,84,bellman_ford,9,1,success,9 -> 8 -> 1,779.0,0.002867,3
20,0.5,0.1,False,85,dijkstra,6,3,success,6 -> 3,406.0,6.4e-05,2
20,0.5,0.1,True,86,bellman_ford,0,17,negative_cycle,,-inf,0.003133,0
20,0.5,0.5,False,87,dijkstra,4,6,success,4 -> 6,1048.0,6.7e-05,2
20,0.5,0.5,True,88,bellman_ford,12,6,negative_cycle,,-inf,0.002982,0
20,0.5,0.8,False,89,dijkstra,2,8,success,2 -> 8,910.0,0.000106,2
20,0.5,0.8,True,90,bellman_ford,6,2,negative_cycle,,-inf,0.003649,0
20,0.8,0.0,False,91,floyd_warshall,2,18,success,2 -> 18,260.0,0.006681,2
20,0.8,0.0,True,92,bellman_ford,13,16,success,13 -> 11 -> 16,967.0,0.001826,3
20,0.8,0.1,False,93,floyd_warshall,15,18,success,15 -> 18,342.0,0.004126,2
20,0.8,0.1,True,94,bellman_ford,17,5,success,17 -> 5,399.0,0.001746,2
20,0.8,0.5,False,95,floyd_warshall,17,16,success,17 -> 16,755.0,0.005272,2
20,0.8,0.5,True,96,bellman_ford,11,10,negative_cycle,,-inf,0.003397,0
20,0.8,0.8,False,97,floyd_warshall,6,13,success,6 -> 13,863.0,0.002898,2
20,0.8,0.8,True,98,bellman_ford,11,18,negative_cycle,,-inf,0.00321,0
20,1.0,0.0,False,99,floyd_warshall,12,19,success,12 -> 19,484.0,0.004918,2
20,1.0,0.0,True,100,bellman_ford,4,14,success,4 -> 14,304.0,0.002097,2
20,1.0,0.1,False,101,floyd_warshall,18,6,success,18 -> 10 -> 6,926.0,0.005492,3
20,1.0,0.1,True,102,bellman_ford,4,11,negative_cycle,,-inf,0.002393,0
20,1.0,0.5,False,103,floyd_warshall,14,6,success,14 -> 16 -> 6,1106.0,0.002997,3
20,1.0,0.5,True,104,bellman_ford,0,6,negative_cycle,,-inf,0.004628,0
20,1.0,0.8,False,105,floyd_warshall,18,11,success,18 -> 15 -> 11,629.0,0.007242,3
20,1.0,0.8,True,106,bellman_ford,15,0,negative_cycle,,-inf,0.004457,0
50,0.2,0.0,False,107,dijkstra,15,39,success,15 -> 22 -> 39,819.0,0.001821,3
50,0.2,0.0,True,108,bellman_ford,8,45,success,8 -> 38 -> 45,482.0,0.021779,3
50,0.2,0.1,False,109,dijkstra,17,14,success,17 -> 26 -> 14,883.0,0.000248,3
50,0.2,0.1,True,110,bellman_ford,24,38,negative_cycle,,-inf,0.014505,0
50,0.2,0.5,False,111,dijkstra,13,20,success,13 -> 32 -> 20,1115.0,0.000215,3
50,0.2,0.5,True,112,bellman_ford,30,42,negative_cycle,,-inf,0.014878,0
50,0.2,0.8,False,113,dijkstra,1,41,success,1 -> 26 -> 24 -> 13 -> 41,1286.0,0.00026,5
50,0.2,0.8,True,114,bellman_ford,15,36,negative_cycle,,-inf,0.015766,0
50,0.5,0.0,False,115,dijkstra,18,12,success,18 -> 12,698.0,0.000341,2
50,0.5,0.0,True,116,bellman_ford,47,38,success,47 -> 10 -> 38,720.0,0.02062,3
50,0.5,0.1,False,117,dijkstra,15,11,success,15 -> 24 -> 11,887.0,0.000306,3
50,0.5,0.1,True,118,bellman_ford,45,40,negative_cycle,,-inf,0.02064,0
50,0.5,0.5,False,119,dijkstra,18,11,success,18 -> 42 -> 11,825.0,0.000202,3
50,0.5,0.5,True,120,bellman_ford,32,15,negative_cycle,,-inf,0.021428,0
50,0.5,0.8,False,121,dijkstra,5,13,success,5 -> 48 -> 38 -> 13,963.0,0.000268,4
50,0.5,0.8,True,122,bellman_ford,32,13,negative_cycle,,-inf,0.021924,0
50,0.8,0.0,False,123,floyd_warshall,3,17,success,3 -> 17,193.0,0.042985,2
